primary_city,state,sparse_chain_stack,packet_ready_rows,sample_brand,sample_store_name,sample_store_id,sample_address,sample_postal_code,sample_latitude,sample_longitude,source,source_date,license_status,review_status,candidate_note
North Utica,IL,qsr,1,McDonald's,McDonald's,42085ef7-7a14-4a27-ba0d-f392c21ebc2c,3020 E 8th Rd,61373,41.370323181152344,-89.0090560913086,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
O Fallon,IL,qsr,1,Burger King,Burger King,446a5133-01be-48dc-9fbc-e4f548408101,1751 Frank Scott Pkwy E,62269,38.58417892456055,-89.90951538085938,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Oak Brook,IL,qsr,2,McDonald's,McDonald's,c15aeded-56fe-4169-ad5d-f29e291acf56,1120 W 22nd St,60523-2182,41.84764862060547,-87.94756317138672,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Oakbrook Terrace,IL,qsr,1,Wendy's,Wendy's,a01108a1-b8ce-4f8f-b7e1-9ecb7190c027,1S576 Midwest Rd,60181-4429,41.849876403808594,-87.9729995727539,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Oakwood,IL,qsr,1,McDonald's,McDonald's,75709ad3-901d-4749-8d96-61a7e8ff1d13,499 N Oakwood Rd,61858,40.12263870239258,-87.77887725830078,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Oglesby,IL,qsr,1,McDonald's,McDonald's,dcb4e039-c56c-44d2-ac74-0c79d27bdc34,115 N Lewis Ave,61348-9772,41.29611587524414,-89.07854461669922,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Okawville,IL,qsr,1,Burger King,Burger King,b3efd1ba-fa4b-4bff-9626-d89441add31d,905 Hen House Rd,62271,38.43621826171875,-89.5340805053711,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Oregon,IL,qsr,1,McDonald's,McDonald's,75a237c1-e2e4-4c24-b26b-26da57e09250,211 S 4th St,61061-1801,42.012176513671875,-89.332275390625,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Palos Hills,IL,qsr,2,McDonald's,McDonald's,01639318-0580-4048-92d9-1efb0aca9d90,11050 Southwest Hwy,60465-2322,41.690391540527344,-87.8099136352539,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Park Forest,IL,qsr,1,Taco Bell,Taco Bell,88e94d78-caad-48b6-921b-c7ec586fe349,413 Sauk Trl,60466-1523,41.48405838012695,-87.7024917602539,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Peotone,IL,qsr,1,McDonald's,McDonald's,224d0a35-019c-42a4-a889-c30f0e79abd7,701 Oriole Dr,60468-8978,41.324153900146484,-87.81536865234375,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Pontoon Beach,IL,qsr,2,Burger King,Burger King,af0ce368-c4b8-42e0-b6d5-2b112ec972e5,1301 E Chain of Rocks Rd,62040,38.761573791503906,-90.06603240966797,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Posen,IL,qsr,1,Wendy's,Wendy's,a00f4a5f-61f4-404d-991e-981d33dc690b,14840 S Western Ave,60469,41.623374938964844,-87.67623138427734,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
River Grove,IL,qsr,1,McDonald's,McDonald's,b496fa2f-5872-4bb3-a9d1-3597a248d90a,8800 W Grand Ave,60171-1419,41.92958068847656,-87.84681701660156,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Rosemont,IL,qsr,2,McDonald's,McDonald's,72cc045f-c58a-495f-bf14-58d51738c0c8,6150 N River Rd,60018-5115,41.990440368652344,-87.86044311523438,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Sandwich,IL,qsr,2,Burger King,Burger King,409d4589-e188-4bda-9ee0-6cdbbd967d6a,1210 E Church St,60548,41.64628982543945,-88.60392761230469,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Savanna,IL,qsr,1,McDonald's,McDonald's,bc1d5559-10aa-4cb7-9bbe-f44203a214b9,1240 Chicago Ave,61074,42.090049743652344,-90.13337707519531,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
South Beloit,IL,qsr,2,McDonald's,Bucciferro Family McDonald's,73b32d48-63d1-4f9b-86ba-5ab07dfacf1d,15766 Manchester Rd,61080,42.48994827270508,-88.98917388916016,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Spring Valley,IL,qsr,1,McDonald's,McDonald's,89a4195b-d96f-47af-b279-7a553f71913b,800 W Dakota St,61362-1602,41.32832336425781,-89.21192169189453,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
St. Charles,IL,qsr,1,Burger King,Burger King,5551c33a-6ac1-4204-99dd-76a9e60498e6,959 S Randall Rd,60174,41.89870071411133,-88.34098052978516,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Stockton,IL,qsr,1,McDonald's,McDonald's,4664a8d8-a5e7-4981-ac7d-1e46b189a6e5,601 E North Ave,61085-1211,42.35770797729492,-89.999267578125,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Sullivan,IL,qsr,1,McDonald's,McDonald's,ea572b61-9e31-4d8e-8252-6d4e80ad622f,11 W Jackson St,61951-1420,39.60054397583008,-88.60820007324219,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Vienna,IL,qsr,1,McDonald's,McDonald's,741ae7b3-8789-4c84-ac3d-c288fd6649ce,707 E Vine St,62995-1645,37.414974212646484,-88.87401580810547,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Wadsworth,IL,qsr,1,McDonald's,McDonald's,eb539411-d6ec-42b2-bd89-b1b1ef207685,39105 US-41,60083,42.429718017578125,-87.93737030029297,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Warrenville,IL,qsr,2,Burger King,Burger King,6010f8d5-a763-416a-96a1-eab25e9451a0,2s551 Rte 59,60555,41.832061767578125,-88.20039367675781,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Wenona,IL,qsr,1,Burger King,Burger King,cb16e6bd-3f1b-4eef-b8fd-55b3d291651c,1 Carrier Ln,61377,41.027076721191406,-89.04896545410156,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
West City,IL,qsr,1,Wendy's,Wendy's,d860a727-7ccc-46cf-8e50-72e65877178b,120 N Central St,62812-1564,37.99844741821289,-88.93762969970703,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
West Frankfort,IL,qsr,3,McDonald's,McDonald's,83f5c2bc-7365-439a-994d-d7587f5ff075,2 W Frankfort Plz,62896-4964,37.8968505859375,-88.95158386230469,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Williamsville,IL,qsr,1,McDonald's,McDonald's,a2c9f68a-d762-45d5-a9a7-31b20848264c,991 Ann Rutledge Dr,62693,39.96113204956055,-89.56229400634766,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Willowbrook,IL,qsr,2,Burger King,Burger King,0d817948-e20f-43b2-9801-c99d3cdb7781,6930 IL-83,60527,41.76210403442383,-87.94577026367188,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Winnebago,IL,qsr,2,McDonald's,McDonald's,3b2c0e4f-cba2-4f5d-9e39-57b97171f84c,103 Capriola Pkwy,61088-7700,42.28022766113281,-89.24299621582031,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
Winnetka,IL,qsr,1,McDonald's,McDonald's,a8fe6c1c-b207-49a0-8038-918c1127817b,858 Green Bay Rd,60093-1853,42.114906311035156,-87.74170684814453,Overture Places 2026-07-22.0,2026-07-22,open,packet_ready,"Illinois qsr-only sparse chain signal across reviewed auto-parts, grocery, pharmacy, and four-brand QSR layers."
